chr1A	41368108
chr1A	42603270
chr1A	279741138
chr1A	444137522
chr1A	499979887
chr1A	505925803
chr1A	522234198
chr1A	568398722
chr1B	160309779
chr1B	160309821
chr1B	377969139
chr1B	546533496
chr1B	623679725
chr1B	667965762
chr1D	430567812
chr2A	36056425
chr2A	53787842
chr2A	71666593
chr2A	537682921
chr2A	715341498
chr2A	723359208
chr2A	763047065
chr2B	102126333
chr2B	710744652
chr2B	725576703
chr2B	767017494
chr2D	398692757
chr2D	632978948
chr2D	632979458
chr2D	632987673
chr2D	639891011
chr2D	642334408
chr3A	59808712
chr3A	594590615
chr3A	683239995
chr3B	202574829
chr3B	269253129
chr3B	466106792
chr3B	513997801
chr3B	524325598
chr3B	576451070
chr3B	583392527
chr3B	590623677
chr3B	643257425
chr3B	651371515
chr3B	651371823
chr3B	681100305
chr3B	738750845
chr3B	787654407
chr3D	112960918
chr3D	296040219
chr3D	445037175
chr4A	521919892
chr4A	626313797
chr4A	632858801
chr4A	679982975
chr4A	679988953
chr4A	686383454
chr4B	14653000
chr4B	104809003
chr4B	130625061
chr4B	174915430
chr4B	424721598
chr4B	480050826
chr4B	605170377
chr4B	605172471
chr4B	616309578
chr4B	616967789
chr4D	39413701
chr4D	122285719
chr4D	399531236
chr4D	467949802
chr4D	467949908
chr4D	472938959
chr4D	497897040
chr5A	39850675
chr5A	395872412
chr5A	473022335
chr5A	473022500
chr5A	473023960
chr5A	597254516
chr5A	609619702
chr5B	396630291
chr5B	409875108
chr5B	476456840
chr5B	514279147
chr5B	544401368
chr5B	556179135
chr5B	585835334
chr5B	662455511
chr5B	662455551
chr5D	7411265
chr5D	284898502
chr5D	418933242
chr5D	475382496
chr6A	39047650
chr6A	484569966
chr6A	564717496
chr6B	8049086
chr6B	8049281
chr6B	157664005
chr6B	479840628
chr6B	516075334
chr6B	623082819
chr6B	638829288
chr7A	82935253
chr7A	124069596
chr7A	128830417
chr7A	163299778
chr7A	556504049
chr7A	606558483
chr7A	709639663
chr7B	46996216
chr7B	49027404
chr7B	65661853
chr7B	131377446
chr7B	181034548
chr7B	619588452
chr7B	625299330
chr7B	650613739
chr7D	213787168
chr7D	358475599
chr7D	358475617
chr7D	358475621
chr7D	412885755
